id,name,parent,parent_id,direct_students,total_descendants
17.6.7.4,Liza Gak,Niloufar Salehi,17.6.7,0,0
17.6.7.5,Sabriya Alam,Niloufar Salehi,17.6.7,0,0
17.6.7.6,Seyi Olojo,Niloufar Salehi,17.6.7,0,0
17.6.7.7,Angela Jin,Niloufar Salehi,17.6.7,0,0
17.6.8,Ranjay Krishna,Michael Bernstein,17.6,15,15
17.6.8.1,Cheng-Yu Hsieh,Ranjay Krishna,17.6.8,0,0
17.6.8.2,Jieyu Zhang,Ranjay Krishna,17.6.8,0,0
17.6.8.3,Jae Sung Park (c*o-advised by Prof. Yejin Choi and Prof. Ali Farhadi*),Ranjay Krishna,17.6.8,0,0
17.6.8.4,Benlin Liu,Ranjay Krishna,17.6.8,0,0
17.6.8.5,George Stoica,Ranjay Krishna,17.6.8,0,0
17.6.8.6,Ainaz Eftekhar,Ranjay Krishna,17.6.8,0,0
17.6.8.7,Amita Kamath,Ranjay Krishna,17.6.8,0,0
17.6.8.8,Enhao Zhang,Ranjay Krishna,17.6.8,0,0
17.6.8.9,Mahtab Bigverdi,Ranjay Krishna,17.6.8,0,0
17.6.8.10,Zixian Ma,Ranjay Krishna,17.6.8,0,0
17.6.8.11,Scott K. Geng,Ranjay Krishna,17.6.8,0,0
17.6.8.12,Xiang Fan,Ranjay Krishna,17.6.8,0,0
17.6.8.13,Linjie Li,Ranjay Krishna,17.6.8,0,0
17.6.8.14,Chnhao Zheng,Ranjay Krishna,17.6.8,0,0
17.6.8.15,Jiafei Duan,Ranjay Krishna,17.6.8,0,0
17.6.9,Mitchell Gordon,Michael Bernstein,17.6,2,2
17.6.9.1,Andre Ye,Mitchell Gordon,17.6.9,0,0
17.6.9.2,Hyemin (Helen) Bang,Mitchell Gordon,17.6.9,0,0
17.6.10,Catherine Mullings,Michael Bernstein,17.6,0,0
17.6.11,Joon Sung Park,Michael Bernstein,17.6,0,0
17.6.12,Michelle Lam,Michael Bernstein,17.6,0,0
17.6.13,Beleicia Bullock,Michael Bernstein,17.6,0,0
17.6.14,Lindsay Popowski,Michael Bernstein,17.6,0,0
17.6.15,Jordan Troutman,Michael Bernstein,17.6,0,0
17.6.16,Omar Shaikh,Michael Bernstein,17.6,0,0
17.6.17,Dora Zhao,Michael Bernstein,17.6,0,0
17.6.18,Carolyn Zou,Michael Bernstein,17.6,0,0
17.7,Sean Chang,Rob Miller,17,0,0
17.8,Max Goldman,Rob Miller,17,0,0
17.9,Chen-Hsiang (Jones) Yu,Rob Miller,17,0,0
17.10,Juho Kim,Rob Miller,17,13,13
17.10.1,Minsuk Chang,Juho Kim,17.10,0,0
17.10.2,Sung-Chul Lee,Juho Kim,17.10,0,0
17.10.3,Seoyoung Kim,Juho Kim,17.10,0,0
17.10.4,Hyungyu Shin,Juho Kim,17.10,0,0
17.10.5,Eunyoung Ko,Juho Kim,17.10,0,0
17.10.6,Hyunwoo Kim,Juho Kim,17.10,0,0
17.10.7,Yoonjoo Lee,Juho Kim,17.10,0,0
17.10.8,Saelyne Yang,Juho Kim,17.10,0,0
17.10.9,Yoonseo Choi,Juho Kim,17.10,0,0
17.10.10,Tae Soo Kim,Juho Kim,17.10,0,0
17.10.11,Kihoon Son,Juho Kim,17.10,0,0
17.10.12,DaEun Choi,Juho Kim,17.10,0,0
17.10.13,Yoonsu Kim,Juho Kim,17.10,0,0
17.11,Elena Glassman,Rob Miller,17,4,4
17.11.1,Tyler Holloway,Elena Glassman,17.11,0,0
17.11.2,Priyan Vaithilingam,Elena Glassman,17.11,0,0
17.11.3,Ziwei Gu,Elena Glassman,17.11,0,0
17.11.4,Chelse Swoopes,Elena Glassman,17.11,0,0
17.12,Carrie Cai,Rob Miller,17,0,0
18,John Pane,Brad Myers,0,0,0
19,Rich McDaniel,Brad Myers,0,0,0
20,James Landay,Brad Myers,0,27,218
20.1,Michelle Lam,James Landay,20,0,0
20.2,Matthew Jörke,James Landay,20,0,0
20.3,Nava Haghighi,James Landay,20,0,0
20.4,Alan Cheng,James Landay,20,0,0
20.5,Mitchell Gordon,James Landay,20,0,0
20.6,Jacob Ritchie,James Landay,20,0,0
20.7,Griffin Dietz,James Landay,20,0,0
20.8,Jackie Yang,James Landay,20,0,0
20.9,Parastoo Abtahi,James Landay,20,3,3
20.9.1,Lauren W. Wang,Parastoo Abtahi,20.9,0,0
20.9.2,Ching-Yi Tsai,Parastoo Abtahi,20.9,0,0
20.9.3,Cyrus Vachha,Parastoo Abtahi,20.9,0,0
20.10,Sherry Ruan,James Landay,20,0,0
20.11,Danaé Metaxa,James Landay,20,4,4
20.11.1,Princess Sampson,Danaé Metaxa,20.11,0,0
20.11.2,Ro Encarnación,Danaé Metaxa,20.11,0,0
20.11.3,Stephanie Wang,Danaé Metaxa,20.11,0,0
20.11.4,Mialy Rasetarinera,Danaé Metaxa,20.11,0,0
20.12,Kesler Tanner,James Landay,20,0,0
20.13,Jane E,James Landay,20,3,3
20.13.1,Bekzat Tilekbay,Jane E,20.13,0,0
20.13.2,Izabella Rodrigues,Jane E,20.13,0,0
20.13.3,Zifei (FeiFei) Han,Jane E,20.13,0,0
20.14,Lydia Chilton,James Landay,20,12,12
20.14.1,Katy Ilonka Gero,Lydia Chilton,20.14,0,0
20.14.2,Savvas Petridis,Lydia Chilton,20.14,0,0
20.14.3,Daniel Li,Lydia Chilton,20.14,0,0
20.14.4,Vivian Liu,Lydia Chilton,20.14,0,0
20.14.5,Sitong Wang,Lydia Chilton,20.14,0,0
20.14.6,Tao Long,Lydia Chilton,20.14,0,0
20.14.7,Xuanming Zhang,Lydia Chilton,20.14,0,0
20.14.8,Yulun Du,Lydia Chilton,20.14,0,0
20.14.9,Jenny Ma,Lydia Chilton,20.14,0,0
20.14.10,Karthik Sreedhar,Lydia Chilton,20.14,0,0
20.14.11,Riya Sahni,Lydia Chilton,20.14,0,0
20.14.12,Reya Vir,Lydia Chilton,20.14,0,0
20.15,Kayur Patel,James Landay,20,0,0
20.16,Jon Froehlich,James Landay,20,13,29
20.16.1,Kotaro Hara,Jon Froehlich,20.16,2,2
20.16.1.1,Rosiana Natalie,Kotaro Hara,20.16.1,0,0
20.16.1.2,Smitha Sheshadri,Kotaro Hara,20.16.1,0,0
20.16.2,Matthew Louis Mauriello,Jon Froehlich,20.16,8,8
20.16.2.1,Aishwarya Chandrasekaran,Matthew Louis Mauriello,20.16.2,0,0
20.16.2.2,Prerana Khatiwada,Matthew Louis Mauriello,20.16.2,0,0
20.16.2.3,Kyle (Qile) Wang,Matthew Louis Mauriello,20.16.2,0,0
20.16.2.4,Moath Talal M Erqsous,Matthew Louis Mauriello,20.16.2,0,0
20.16.2.5,Abhishek Karwankar,Matthew Louis Mauriello,20.16.2,0,0
20.16.2.6,Fatimah Alhassan,Matthew Louis Mauriello,20.16.2,0,0
20.16.2.7,John Aromando,Matthew Louis Mauriello,20.16.2,0,0
20.16.2.8,Abigail Liu,Matthew Louis Mauriello,20.16.2,0,0
20.16.3,Lee Stearns,Jon Froehlich,20.16,0,0
