id,name,parent,parent_id
20.24.8,Jesse Cirimele,Scott Klemmer,20.24
20.24.9,Chinmay Kulkarni,Scott Klemmer,20.24
20.24.10,Vineet Pandey,Scott Klemmer,20.24
20.24.11,Ailie Fraser,Scott Klemmer,20.24
20.24.12,Tricia Ngoon,Scott Klemmer,20.24
20.24.13,Ariel Weingarten,Scott Klemmer,20.24
20.25,Hesham M. Kamel,James Landay,20
20.26,Anoop Sinha,James Landay,20
20.27,Allan Chris Long,James Landay,20
21,Francesmary Modugno,Brad Myers,0
21.1,Jennifer Simpson,Francesmary Modugno,21
21.2,Gretchen Gierach,Francesmary Modugno,21
21.3,Alana Hudson,Francesmary Modugno,21
21.4,Claudia Leiras,Francesmary Modugno,21
21.5,Katherine Reeves,Francesmary Modugno,21
21.6,Jessica Albano,Francesmary Modugno,21
21.7,Zhuxuan Fu,Francesmary Modugno,21
